Mode,dimension,Wnd,nEP,nSample,SqrError,NrmError,RnSqrErr,RnNrmErr,Ratio (RnNrmErr/NrmErr)
dm,100,15,10,2323224,0.929475,0.219843,0.981473,0.983215,4.472350723
dm,100,20,10,2323224,0.83012,0.229442,0.982215,0.982948,4.2840805084
dm,100,25,10,2323224,0.780586,0.235785,0.983034,0.982908,4.1686621286
dm,100,15,20,2323224,1.597383,0.241957,0.970806,0.97626,4.0348491674
dm,100,20,20,2323224,1.434612,0.247643,0.974031,0.977527,3.9473233647
dm,100,25,20,2323224,1.339638,0.251571,0.97629,0.978707,3.8903808468
dm,100,15,30,2323224,2.062896,0.261384,0.954316,0.963979,3.6879801365
dm,100,20,30,2323224,1.867534,0.266293,0.962157,0.968644,3.6375120638
dm,100,25,30,2323224,1.741741,0.270338,0.966974,0.971974,3.5954027921
dm,100,10,1,2323224,0.964244,0.333479,0.988696,0.979223,2.9363857994
dm,100,15,1,2323224,0.975822,0.35771,0.988044,0.971964,2.7171843113
dm,100,20,1,2323224,0.979563,0.374,0.988463,0.969522,2.5923048128
dm,100,25,1,2323224,0.981071,0.384596,0.988657,0.967533,2.5157125919
dm,100,10,5,2323224,0.664261,0.211304,0.985949,0.987057,4.6712650967
dm,100,15,5,2323224,0.670944,0.229367,0.984733,0.984409,4.2918510509
dm,100,20,5,2323224,0.706606,0.239834,0.984199,0.981476,4.0923138504
dm,100,25,5,2323224,0.735057,0.248102,0.984231,0.980311,3.951241828
dbow,100,10,5,2323224,10.7910623059,0.118641058,0.560273095,0.7994640432,6.7385107372
dbow,100,10,10,2323224,13.1593415404,0.1242300734,0.6062877898,0.8216753353,6.6141419128
dbow,100,15,5,2323224,10.7903405154,0.1271244442,0.5642668564,0.7962335142,6.2634178596
dbow,100,15,10,2323224,13.0775266755,0.1321360292,0.6079823098,0.8184147892,6.1937292512
dbow,100,20,5,2323224,10.7496859905,0.134383834,0.5694825519,0.7942167272,5.9100615272
dbow,100,20,10,2323224,12.932479242,0.1402512406,0.6112036276,0.8166192996,5.8225459975
dbow,200,10,5,2323224,13.771661,0.13002,0.548425,0.82295,6.3294108599
dbow,200,10,10,2323224,17.091499,0.131005,0.598914,0.843933,6.4419907637
dbow,200,15,5,2323224,13.402279,0.140921,0.551495,0.817552,5.8014916159
dbow,200,15,10,2323224,16.577436,0.141568,0.600758,0.839532,5.930238472
dbow,200,20,5,2323224,13.098374,0.152374,0.557444,0.815555,5.3523238873
dbow,200,20,10,2323224,16.176993,0.152419,0.604856,0.837751,5.496368563
